gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
rpsd,rpsD,EG10903_RNA,True,0,False,expected_nonessential,False,2
rpse,rpsE,EG10904_RNA,True,1,True,expected_essential,True,2
rpsf,rpsF,EG10905_RNA,True,1,True,expected_essential,True,2
rpsg,rpsG,EG10906_RNA,True,1,True,expected_essential,True,2
rpsh,rpsH,EG10907_RNA,True,1,True,expected_essential,True,2
rpsi,rpsI,EG10908_RNA,True,0,False,expected_nonessential,False,2
rpsj,rpsJ,EG10909_RNA,True,1,True,expected_essential,True,2
rpsk,rpsK,EG10910_RNA,True,1,True,expected_essential,True,2
rpsl,rpsL,EG10911_RNA,True,1,True,expected_essential,True,2
rpsm,rpsM,EG10912_RNA,True,1,True,expected_essential,True,2
rpsn,rpsN,EG10913_RNA,True,1,True,expected_essential,True,2
rpso,rpsO,EG10914_RNA,True,1,True,expected_essential,True,2
rpsp,rpsP,EG10915_RNA,True,0,False,expected_nonessential,False,2
rpsq,rpsQ,EG10916_RNA,True,1,True,expected_essential,True,2
rpsr,rpsR,EG10917_RNA,True,1,True,expected_essential,True,2
rpss,rpsS,EG10918_RNA,True,1,True,expected_essential,True,2
rpst,rpsT,EG10919_RNA,True,1,True,expected_essential,True,2
rpsu,rpsU,EG10920_RNA,True,1,True,expected_essential,True,2
rutg,rutG,G6517_RNA,False,0,False,expected_nonessential,True,2
sbma,sbmA,EG10928_RNA,False,0,False,expected_nonessential,True,2
scpb,scpB,G7516_RNA,False,0,False,expected_nonessential,True,2
serc,serC,EG10946_RNA,False,1,True,expected_essential,False,2
sers,serS,EG10947_RNA,False,1,True,expected_essential,False,2
sgbu,sgbU,EG12286_RNA,False,0,False,expected_nonessential,True,2
slyd,slyD,EG11663_RNA,False,0,False,expected_nonessential,True,2
speg,speG,G6842_RNA,False,0,False,expected_nonessential,True,2
sra,sra,EG11508_RNA,True,0,False,expected_nonessential,False,2
stha,sthA,EG11428_RNA,False,0,False,expected_nonessential,True,2
sucb,sucB,EG10980_RNA,False,1,True,expected_essential,False,2
sucd,sucD,EG10982_RNA,False,0,False,expected_nonessential,True,2
